,awb,breadth,buyer_city,buyer_pin,cancelled_date,current_status,delivered_date,delivery_attempt_count,dispatch_date,heavy,height,last_mile_arrival_date,last_modified,length,order_created_date,order_id,price,product_category,product_id,product_name,product_price,product_qty,promised_date,return_cause,reverse_logistics_booked_date,reverse_logistics_date,reverse_logistics_delivered_date,rto_date,rto_delivered_date,seller_city,seller_pin,shipper_confirmation_date,shipper_name,shipping_cost,weight
0,594562,26,Lakinfurt,65915,,DEL,2015-12-22 21:18:50,4,2015-12-18 21:25:34,True,53,2015-12-21 22:43:36,2015-12-17 14:28:11,59,2015-12-05 17:44:56,96a90543-ff1b-418c-bf2c-84fcdac75e2b,941754,ComputersandPeripherals,b75b1734-2695-4aa4-8f59-f61bdcc9e542,S R Footwear Black Synthetic Leather Men's Formal Shoes (Size: 8),766979,13,2015-12-22 01:38:45,,,,,,,Port Kaylishire,35062,2015-12-16 05:59:48,SHPR2,888,87
1,503604,71,Rolfsontown,05683,,DEL,2015-12-22 23:34:39,1,2015-12-20 14:05:25,False,9,2015-12-21 16:20:41,2015-12-30 03:42:19,86,2015-12-12 10:01:19,5adf78a9-e542-421c-bfc6-79452e3df902,751809,Furnishing,9f2cd078-c30f-4e8c-8f84-0a05fab49eff,Reliance Micro SD 4 GB Memory Card Class 6,717421,21,2015-12-22 02:08:13,,,,,,,Boyleland,65130,2015-12-19 23:30:27,SHPR3,439,6
2,657322,67,Alphabury,84605,,SHP,,1,2015-12-12 14:28:25,True,57,,2015-12-29 22:38:21,99,2015-12-08 00:02:16,f06dcac0-cc52-4c20-ac67-2c69ef560127,178057,PowerBanks,84876eb2-b231-45bb-8737-f8c943c4ded7,RockZone Beatz Earphones For Iphone  Samsung And Other Smartphones - Black,315699,2,2015-12-21 12:14:29,,,,,,,Lake Olar,47633,2015-12-08 17:01:35,SHPR7,47,5
3,583423,5,McClureland,12413,,RTO,,1,2015-12-16 09:50:49,True,54,2015-12-20 04:10:01,2015-12-14 09:47:20,65,2015-12-05 19:01:04,d5427055-b9c1-4f94-b7f2-dc5dff6e9908,84946,Mobiles,284fcd99-3162-4559-988a-30031b3bb6ce,Fastrack Core NC1229SM04 Men's Watch,745164,23,2015-12-21 11:31:58,order_cancelled,,,,2015-12-19 13:47:48,2015-12-10 22:06:32,Vivianmouth,49496,2015-12-08 09:26:37,SHPR6,467,31
4,436923,29,Clairport,10472,,SHP,,1,2015-12-18 18:54:08,False,16,,2015-12-01 04:08:06,21,2015-12-11 12:27:01,645a200e-e3a5-4c88-b592-9ea697383bf3,278560,Clothing,fe404ada-0c7a-4949-8cca-78a999379bf0,Gansta Non Metal UV Protection Wayfarer Sunglasses Size: Medium,394983,12,2015-12-22 15:23:53,,,,,,,Toyton,31420,2015-12-14 19:18:26,SHPR4,243,50
5,304514,98,Christophefurt,73790,,ITR,,1,2015-12-19 03:30:39,True,33,2015-12-21 06:38:09,2015-12-01 01:54:15,59,2015-12-06 12:33:44,a6b0fc57-b080-48bb-8fb6-9c9d54fb8121,732578,Clothing,ffb30ec4-c3c0-4fe2-bbbe-5eb2b9d5bacf,Vritika Beige Art Crepe Plain Saree With Blouse Piece,393673,2,2015-12-22 13:18:43,,,,,,,Parkerberg,24749,2015-12-18 05:37:33,SHPR6,887,44
6,532785,46,North Jadynside,48166,,DEL,2015-12-22 02:44:17,1,2015-12-15 20:54:42,False,12,2015-12-21 15:05:25,2015-12-12 15:28:55,69,2015-12-10 23:31:24,3efdcab7-8ff4-45f6-8084-b6c7938e63d3,53612,Tablets,3269e190-cf7f-4177-9a85-0dbba156118f,ORKIA-OKHT-107 White/Blue Trimmer,8914,8,2015-12-21 15:10:58,,,,,,,Carissamouth,40335,2015-12-12 21:28:38,SHPR7,760,39
7,511686,65,New Cordella,98001,,ITR,,6,2015-12-19 15:19:35,False,62,2015-12-21 10:04:59,2015-12-07 23:10:25,74,2015-12-01 18:38:52,d0562b52-09db-4eac-ac28-f2ed83ed24ff,291203,PowerBanks,c1f8d612-0dbc-4eca-ae6b-e7260fc8f740,AlphaPowerful10mmDrillMachineWith41PcsScrewdriverToolkit,226056,28,2015-12-22 11:44:37,,,,,,,Jimmytown,24778,2015-12-17 12:59:16,SHPR3,183,33
8,822624,18,Rohanport,27022,,RTO,,2,2015-12-18 02:45:46,False,65,2015-12-19 04:22:17,2015-12-15 22:28:31,48,2015-12-02 11:10:22,d37c437c-0e3e-4d8c-9815-f36cfb2ad037,552878,Tablets,0b68d8e4-22d9-42a4-9880-59b6114b2510,Johra Tempered Glass Screen Protector For Infocus M2,284752,11,2015-12-22 19:23:51,COD_denied,,,,2015-12-14 20:13:45,2015-12-01 17:49:11,South Arthur,58708,2015-12-12 14:19:39,SHPR4,260,47
9,326922,63,North Pamala,96275,,DEL,2015-12-20 14:37:56,1,2015-12-19 21:48:31,True,79,2015-12-20 01:03:16,2015-12-26 11:05:14,41,2015-12-11 20:34:16,14ae9236-20e3-4e00-89b6-a2260d96b76c,155721,Clothing,5205eff3-2bbe-4f7c-9bd5-8628bc31f1fc,Belly Creation Pink Net Embroidered Saree With Blouse Piece,337590,1,2015-12-22 19:00:11,,,,,,,New Juliehaven,50885,2015-12-18 17:57:37,SHPR7,198,61
10,150267,15,East Tamraville,35695,,ITR,,1,2015-12-19 22:55:27,False,29,2015-12-21 09:01:13,2015-12-15 23:37:10,21,2015-12-10 06:53:17,6db783b3-0fe3-4a61-8ff5-e1cff2f2f7fc,838697,Tablets,42f0f2a4-be39-484c-98d9-62e843d3877f,Trost 2 In 1 Charging And Data Sync Usb Cable For Iphone 5/ 5c/ 5s/ Ipad And Other Android Phones,97432,22,2015-12-21 10:21:46,,,,,,,Ivonnestad,41345,2015-12-19 06:52:38,SHPR4,101,77
